uniName,teamName,teamShorthand,city,state,enrollment,conference,historicalWins,ppgScore,ppgAllowed,homeATS,offPassYdsPerGame,offRushYdsPerGame,defPassYdsPerGame,defRushYardsPerGame,offPassAttPerGame,offRushAttPerGame,defPassAttPerGame,defRushAttPerGame,Division,mainRivalUniName,secondRivalUniName,thirdRivalUniName
Boston College,Eagles,BC,Chestnut Hill,Massachusetts,15046,ACC,521,17.3,30.2,56,246.6,60.9,204.5,168.3,36.5,29.7,29.2,38.1,None,Miami (FL),Pitt,Syracuse
Clemson,Tigers,CLEM,Clemson,South Carolina,27341,ACC,768,34.7,20,46.2,228.3,184.4,214.5,104.2,32.6,40.4,34.4,30.6,None,Florida State,Georgia Tech,North Carolina State
Duke,Blue Devils,DUKE,Durham,North Carolina,17620,ACC,507,33,22.1,41.7,222.4,191,254.5,122.5,30,37.6,35.3,32.5,None,North Carolina,North Carolina State,Wake Forest
Florida State,Seminoles,FSU,Tallahassee,Florida,45130,ACC,541,35.4,18,42.3,256.7,217,155.4,138,29.7,39.2,27.1,37.1,None,Clemson,Miami (FL),Syracuse
Georgia Tech,Yellow Jackets,GT,Atlanta,Georgia,43844,ACC,743,17.5,27.6,28,190.1,141.1,218.7,181.7,31.4,36.2,31.5,41.7,None,Clemson,Louisville,Wake Forest
Louisville,Cardinals,LOU,Louisville,Kentucky,22140,ACC,374,28.5,19.6,46.2,217.7,196.1,208.2,139,28.9,39.3,29.8,36.9,None,Georgia Tech,Miami (FL),Virginia
Miami (FL),Hurricanes,MIA,Coral Gables,Florida,19096,ACC,607,24.3,25.4,45.8,235.4,130.1,230.5,133.9,34,35.2,27.8,35.6,None,Boston College,Florida State,Louisville
North Carolina,Tar Heels,UNC,Chapel Hill,North Carolina,31733,ACC,677,38,30.4,56.5,328.9,163.8,273.2,179.7,36.3,36.2,34.2,39.5,None,Duke,North Carolina State,Virginia
North Carolina State,Wolfpack,NCST,Raleigh,North Carolina,36831,ACC,604,24.9,18.7,61.5,218.1,126.6,222,101.4,34.7,36.3,34,28.1,None,Clemson,Duke,North Carolina
Pitt,Panthers,PITT,Pittsburgh,Pennsylvania,29238,ACC,707,29.8,24.1,52,217.5,175.2,219.2,94.5,29.1,40,34.4,29.9,None,Boston College,Syracuse,Virginia Tech
Syracuse,Orange,SYR,Syracuse,New York,21772,ACC,691,28,22.6,56,218.2,141.5,183,154.9,26.5,33.7,28.6,39.5,None,Boston College,Florida State,Pitt
Virginia,Cavaliers,UVA,Charlottesville,Virginia,26026,ACC,599,17,24,68,221,123.1,204.4,153.2,34.2,32.9,31.2,40.7,None,Louisville,North Carolina,Virginia Tech
Virginia Tech,Hokies,VT,Blacksburg,Virginia,37279,ACC,730,19.3,24.7,44.4,203.3,110.2,235.2,135.2,31.5,35.3,34,34.6,None,Pitt,Virginia,Wake Forest
Wake Forest,Demon Deacons,WAKE,Winston-Salem,North Carolina,8947,ACC,477,37.4,28.8,54.2,311.6,134.9,262.3,139.5,35.9,39.8,34.3,36.5,None,Duke,Georgia Tech,Virginia Tech
Cincinnati,Bearcats,CIN,Cincinnati,Ohio,40281,American,394,31.7,19.7,65.4,270,127.9,188.6,134.9,34,31.4,31.5,41.5,None,,,
East Carolina,Pirates,ECU,Greenville,North Carolina,28021,American,340,29.2,25.3,45.5,286.2,166,277.7,117.2,37.1,32.5,31.6,33.8,None,,,
Houston,Cougars,HOU,Houston,Texas,47031,American,455,37.8,33.2,50,315.2,144.5,282.9,147,38.7,31,36.8,34.9,None,,,
Memphis,Tigers,MEM,Memphis,Tennessee,21622,American,346,35.5,26.7,59.3,278,141,244.6,122.5,34.5,37.5,35.3,34.3,None,,,
Navy,Midshipmen,NAVY,Annapolis,Maryland,4528,American,700,22.4,24.7,59.1,91.2,239.5,270.4,85.6,11.1,59.2,30.5,27.9,None,,,
SMU,Mustangs,SMU,University Park,Texas,12385,American,522,38.8,35,68.2,326.2,158.7,238.5,207.8,39.8,36.8,31.1,41.8,None,,,
South Florida,Bulls,USF,Tampa,Florida,44322,American,141,27,40.7,45.8,197.7,188.8,289.3,224.5,27.8,36.2,31.5,37.5,None,,,
Temple,Owls,TEM,Philadelphia,Pennsylvania,35626,American,337,19.7,27.5,45.5,244.5,85.5,188.1,190.1,38.3,27.5,26.3,43.1,None,,,
Tulane,Green Wave,TULN,New Orleans,Louisiana,13127,American,526,35.1,19.5,69.6,229.3,189.7,189.5,147.3,27.8,40.4,30.6,38.5,None,,,
Tulsa,Golden Hurricane,TLSA,Tulsa,Oklahoma,3832,American,506,30,33.4,42.9,269.3,140.8,190,215.9,33.7,36.1,26.5,44.1,None,,,
UCF,Knights,UCF,Orlando,Florida,70406,American,191,33.9,19.7,52,246.5,234.5,218.6,134.5,30.8,44,33.8,34,None,,,
